RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434803,18K04358,2018-11-11 18:00:00,2018,11,18,11,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHEAST,EDNOR GARDENS-LAKESIDE,STREET,39.328674317386955,-76.59003624446947,0.63,0.28,52000,0.22,Black
434804,18K35078,2018-11-11 01:00:00,2018,11,1,11,6J,LARCENY,,UNKNOWN,SOUTHEAST,FELLS POINT,UNKNOWN,39.281569058307625,-76.59417002173461,0.08,0.8,78000,0.08,White
434805,18K04206,2018-11-11 00:00:00,2018,11,0,11,6J,LARCENY,,UNKNOWN,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,SHOPPING MALLS/CNTR,39.28018084603865,-76.62710087744462,0.48,0.42,42000,0.21,Neither
434806,18K04195,2018-11-11 20:45:00,2018,11,20,11,5A,BURGLARY,,UNKNOWN,SOUTHEAST,FELLS POINT,ROW/TOWNHOUSE-OCC,39.28271102853211,-76.59137009991524,0.08,0.8,78000,0.08,White
434807,18K04251,2018-11-11 23:20:00,2018,11,23,11,3AK,ROBBERY,,KNIFE,WESTERN,POPPLETON,STREET,39.28994772446265,-76.63758744278648,0.91,0.03,25000,0.41,Black
434808,18K04113,2018-11-11 03:00:00,2018,11,3,11,3AJF,ROBBERY - CARJACKING,,FIREARM,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,UNKNOWN,39.27699750121501,-76.63992602790546,0.63,0.28,52000,0.22,Black
434809,18K04033,2018-11-11 11:25:00,2018,11,11,11,3CF,ROBBERY - COMMERCIAL,,FIREARM,NORTHEAST,WALTHERSON,RETAIL/SMALL BUSINES,39.33249933439652,-76.56006276295538,0.84,0.08,38000,0.24,Black
434810,18K03956,2018-11-11 01:50:00,2018,11,1,11,4E,COMMON ASSAULT,,UNKNOWN,NORTHWEST,ARLINGTON,TAVERN/NIGHT CLUB,39.35024537626977,-76.68099060123248,0.87,0.06,41000,0.22,Black
434811,18K04060,2018-11-11 14:05:00,2018,11,14,11,6E,LARCENY,,UNKNOWN,SOUTHWEST,PANWAY/BRADDISH AVENUE,STREET,39.31223660446901,-76.6656908084952,0.63,0.28,52000,0.22,Black
434812,18K04312,2018-11-11 11:00:00,2018,11,11,11,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHERN,HOES HEIGHTS,STREET,39.34313587585048,-76.63637878936106,0.63,0.28,52000,0.22,Black
434813,18K03957,2018-11-11 00:30:00,2018,11,0,11,7A,AUTO THEFT,,UNKNOWN,SOUTHERN,BROOKLYN,STREET,39.23704961391612,-76.602250385319,0.68,0.2,38000,0.25,Black
434814,18K04028,2018-11-11 10:50:00,2018,11,10,11,3EK,ROBBERY,,KNIFE,NORTHERN,CHARLES NORTH,GAS STATION,39.31284281296731,-76.62013975950973,0.63,0.28,52000,0.22,Black
434815,18K04342,2018-11-11 03:17:00,2018,11,3,11,6D,LARCENY FROM AUTO,,UNKNOWN,WESTERN,ROSEMONT HOMEOWNERS/TENANTS,STREET,39.2940585825688,-76.65950820523238,0.89,0.04,34000,0.3,Black
434816,18K04125,2018-11-11 16:20:00,2018,11,16,11,4C,AGG. ASSAULT,,OTHER,SOUTHERN,SHARP-LEADENHALL,STREET,39.27673006236299,-76.61655733413028,0.55,0.35,45000,0.19,Black
434817,18K05490,2018-11-14 20:00:00,2018,11,20,14,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHEAST,CANTON,STREET,39.285614563011166,-76.57056866659661,0.05,0.88,82000,0.06,White
