Neighborhood,Crime_Rate,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category,Det_Rate
HAMPDEN,1334,0.1,0.82,62000.0,0.1,White,0.07300000000000001
HANLON-LONGWOOD,594,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HARLEM PARK,944,0.96,0.01,26000.0,0.4,Black,0.020633333333333333
HARWOOD,383,0.42,0.45,52000.0,0.15,Neither,0.015400000000000002
HAWKINS POINT,45,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HERITAGE CROSSING,252,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HERRING RUN PARK,28,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HIGHLANDTOWN,1090,0.15,0.65,55000.0,0.14,White,0.07300000000000001
HILLEN,360,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HOES HEIGHTS,172,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
HOLABIRD INDUSTRIAL PARK,67,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HOLLINS MARKET,614,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
HOMELAND,317,0.08,0.82,108000.0,0.04,White,0.07300000000000001
HOPKINS BAYVIEW,222,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
HOWARD PARK,986,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HUNTING RIDGE,306,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
IDLEWOOD,223,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
INNER HARBOR,1630,0.2,0.65,72000.0,0.1,White,0.07300000000000001
IRVINGTON,1063,0.87,0.06,35000.0,0.29,Black,0.020633333333333333
JOHNS HOPKINS HOMEWOOD,62,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
JOHNSTON SQUARE,690,0.93,0.03,26000.0,0.4,Black,0.020633333333333333
JONES FALLS AREA,89,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
JONESTOWN,652,0.35,0.5,48000.0,0.18,White,0.07300000000000001
KENILWORTH PARK,200,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
KERNEWOOD,105,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
KESWICK,40,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
KRESSON,246,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LAKE EVESHAM,58,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LAKE WALKER,151,0.55,0.35,55000.0,0.13,Black,0.020633333333333333
LAKELAND,1118,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LANGSTON HUGHES,247,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LAURAVILLE,528,0.6,0.3,52000.0,0.12,Black,0.020633333333333333
LEVINDALE,255,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LIBERTY SQUARE,302,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LITTLE ITALY,227,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LOCH RAVEN,710,0.5,0.38,57000.0,0.13,Black,0.020633333333333333
LOCUST POINT,172,0.049999999999999996,0.8800000000000001,79000.0,0.060000000000000005,White,0.07300000000000001
LOCUST POINT INDUSTRIAL AREA,146,0.05,0.8799999999999999,79000.0,0.06,White,0.07300000000000001
LOWER EDMONDSON VILLAGE,168,0.9099999999999999,0.03,36000.0,0.28,Black,0.020633333333333333
LOWER HERRING RUN PARK,24,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LOYOLA/NOTRE DAME,32,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
LUCILLE PARK,162,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MADISON PARK,735,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
MADISON-EASTEND,650,0.95,0.01,25000.0,0.41,Black,0.020633333333333333
MAYFIELD,149,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MCELDERRY PARK,1646,0.9,0.04,28500.0,0.36,Black,0.020633333333333333
MEDFIELD,255,0.12,0.75,71000.0,0.08,White,0.07300000000000001
MEDFORD,217,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MID-GOVANS,224,0.62,0.28,50000.0,0.15,Black,0.020633333333333333
MID-TOWN BELVEDERE,1091,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MIDDLE BRANCH/REEDBIRD PARKS,223,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MIDDLE EAST,666,0.92,0.030000000000000002,25000.0,0.41999999999999993,Black,0.020633333333333333
MIDTOWN-EDMONDSON,480,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MILLHILL,1065,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MILTON-MONTFORD,584,0.9399999999999998,0.02,28000.0,0.37,Black,0.020633333333333333
MONDAWMIN,1348,0.91,0.03,33000.0,0.31,Black,0.020633333333333333
MONTEBELLO,63,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MORAVIA-WALTHER,111,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
MORGAN PARK,33,0.85,0.08,45000.0,0.17,Black,0.020633333333333333
MORGAN STATE UNIVERSITY,111,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
MORRELL PARK,1436,0.55,0.32,41000.0,0.22,Black,0.020633333333333333
MOSHER,449,0.9300000000000002,0.03,26500.0,0.39,Black,0.020633333333333333
MOUNT HOLLY,437,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MOUNT VERNON,1917,0.2800000000000001,0.58,55000.0,0.14000000000000004,White,0.07300000000000001
MOUNT WASHINGTON,431,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
MOUNT WINANS,127,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
MT PLEASANT PARK,13,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
NEW NORTHWOOD,665,0.45,0.42000000000000004,58000.0,0.13,Neither,0.015400000000000002
NEW SOUTHWEST/MOUNT CLARE,615,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
NORTH HARFORD ROAD,644,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
NORTH ROLAND PARK/POPLAR HILL,83,0.05,0.8800000000000001,115000.0,0.03,White,0.07300000000000001
NORTHWEST COMMUNITY ACTION,514,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
O'DONNELL HEIGHTS,199,0.38,0.48,46000.0,0.17000000000000004,Neither,0.015400000000000002
OAKENSHAWE,207,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
OAKLEE,114,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
OLD GOUCHER,426,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
OLDTOWN,749,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
OLIVER,1191,0.93,0.02,26500.0,0.4,Black,0.020633333333333333
ORANGEVILLE,250,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
ORANGEVILLE INDUSTRIAL AREA,152,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
ORCHARD RIDGE,266,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
ORIGINAL NORTHWOOD,156,0.45,0.42,58000.0,0.13,Neither,0.015400000000000002
OTTERBEIN,253,0.08,0.85,88000.0,0.05,White,0.07300000000000001
OVERLEA,81,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PANWAY/BRADDISH AVENUE,201,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PARK CIRCLE,479,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PARKLANE,336,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PARKSIDE,375,0.83,0.1,43000.0,0.19,Black,0.020633333333333333
PARKVIEW/WOODBROOK,419,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
PATTERSON PARK,132,0.18,0.68,60000.0,0.11,White,0.07300000000000001
PATTERSON PARK NEIGHBORHOOD,1708,0.18,0.68,60000.0,0.11,White,0.07300000000000001
PATTERSON PLACE,472,0.88,0.06,31000.0,0.33,Black,0.020633333333333333
PEN LUCY,466,0.75,0.15,44000.0,0.19,Black,0.020633333333333333
PENN NORTH,1032,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PENN-FALLSWAY,459,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PENROSE/FAYETTE STREET OUTREACH,1033,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PERKINS HOMES,310,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PERRING LOCH,280,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PIMLICO GOOD NEIGHBORS,350,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PLEASANT VIEW GARDENS,206,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
POPPLETON,808,0.9099999999999999,0.03,25000.0,0.41,Black,0.020633333333333333
PORT COVINGTON,13,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PULASKI INDUSTRIAL AREA,1013,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
PURNELL,74,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
RADNOR-WINSTON,158,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
RAMBLEWOOD,229,0.52,0.36,53000.0,0.15,Black,0.020633333333333333
REISTERSTOWN STATION,1149,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
REMINGTON,518,0.22,0.65,55000.0,0.13,White,0.07300000000000001
RESERVOIR HILL,1240,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
RICHNOR SPRINGS,132,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
RIDGELY'S DELIGHT,213,0.08,0.8499999999999999,85000.0,0.06,White,0.07300000000000001
RIVERSIDE,688,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
ROGNEL HEIGHTS,414,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
ROLAND PARK,373,0.05,0.88,115000.0,0.03,White,0.07300000000000001
ROSEBANK,154,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
ROSEMONT,733,0.89,0.04,34000.0,0.3,Black,0.020633333333333333
ROSEMONT EAST,264,0.89,0.04,34000.0,0.3,Black,0.020633333333333333
ROSEMONT HOMEOWNERS/TENANTS,392,0.89,0.04,34000.0,0.3,Black,0.020633333333333333
SABINA-MATTFELDT,82,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
SAINT AGNES,166,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
SAINT HELENA,117,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
SAINT JOSEPHS,458,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
SAINT PAUL,44,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
SANDTOWN-WINCHESTER,2045,0.97,0.01,28500.0,0.38,Black,0.020633333333333333
SETON BUSINESS PARK,215,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
SETON HILL,518,0.58,0.32,38000.0,0.26,Black,0.020633333333333333
SHARP-LEADENHALL,218,0.55,0.35,45000.0,0.19,Black,0.020633333333333333
SHIPLEY HILL,580,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
SOUTH BALTIMORE,420,0.1,0.82,72000.0,0.09,White,0.07300000000000001
SOUTH CLIFTON PARK,386,0.89,0.05,31000.0,0.33,Black,0.020633333333333333
SPRING GARDEN INDUSTRIAL AREA,27,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
STADIUM AREA,110,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
STONEWOOD-PENTWOOD-WINSTON,96,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
TAYLOR HEIGHTS,23,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
TEN HILLS,243,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
THE ORCHARDS,27,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
TOWANDA-GRANTLEY,312,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
TREMONT,120,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
TUSCANY-CANTERBURY,112,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
UNION SQUARE,329,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
UNIVERSITY OF MARYLAND,475,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
UNKNOWN,153,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
UPLANDS,161,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
UPPER FELLS POINT,707,0.08,0.8,78000.0,0.08,White,0.07300000000000001
UPTON,1799,0.95,0.020000000000000004,24000.0,0.42,Black,0.020633333333333333
VILLAGES OF HOMELAND,11,0.08,0.82,108000.0,0.04,White,0.07300000000000001
VIOLETVILLE,532,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WAKEFIELD,244,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WALBROOK,706,0.88,0.05,38000.0,0.25,Black,0.020633333333333333
WALTHERSON,1012,0.84,0.08,38000.0,0.24,Black,0.020633333333333333
WASHINGTON HILL,904,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WASHINGTON VILLAGE/PIGTOWN,1676,0.48000000000000004,0.42,42000.0,0.21,Neither,0.015400000000000002
WAVERLY,602,0.78,0.15,42000.0,0.2,Black,0.020633333333333333
WEST ARLINGTON,409,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WEST FOREST PARK,385,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WEST HILLS,221,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WESTFIELD,461,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WESTGATE,384,0.9,0.04,34000.0,0.3,Black,0.020633333333333333
WESTPORT,381,0.8499999999999999,0.08,30000.0,0.35,Black,0.020633333333333333
WILHELM PARK,171,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
WILSON PARK,146,0.87,0.06,36000.0,0.27,Black,0.020633333333333333
WINCHESTER,250,0.97,0.01,28500.0,0.38,Black,0.020633333333333333
WINDSOR HILLS,299,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WINSTON-GOVANS,232,0.62,0.28,50000.0,0.15,Black,0.020633333333333333
WOODBERRY,230,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WOODBOURNE HEIGHTS,209,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
WOODBOURNE-MCCABE,178,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
WOODMERE,870,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WRENLANE,95,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
WYMAN PARK,181,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
WYNDHURST,79,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
YALE HEIGHTS,385,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
YORK-HOMELAND,47,0.08,0.82,108000.0,0.04,White,0.07300000000000001
