City,Year,Month,Mode,Race_Category,N_Total,N_Detected,N_Reported,Detection_Rate,Reporting_Rate,N_Officers,Radius_ft,Reporting_Prob
Baltimore,2018,2,reported,White,563,55,322,0.097691,0.571936,60,700,0.521
Baltimore,2018,2,reported,Neither,97,2,56,0.020619,0.57732,60,700,0.521
Baltimore,2018,3,reported,Black,2733,65,1445,0.023783,0.528723,60,700,0.521
Baltimore,2018,3,reported,White,603,40,327,0.066335,0.542289,60,700,0.521
Baltimore,2018,3,reported,Neither,99,0,49,0.0,0.494949,60,700,0.521
Baltimore,2018,4,reported,Black,2942,91,1611,0.030931,0.547587,60,700,0.521
Baltimore,2018,4,reported,White,661,35,366,0.05295,0.553707,60,700,0.521
Baltimore,2018,4,reported,Neither,131,1,72,0.007634,0.549618,60,700,0.521
Baltimore,2018,5,reported,Black,3209,99,1701,0.030851,0.530072,60,700,0.521
Baltimore,2018,5,reported,White,802,48,427,0.05985,0.532419,60,700,0.521
Baltimore,2018,5,reported,Neither,129,3,71,0.023256,0.550388,60,700,0.521
Baltimore,2018,6,reported,Black,3117,111,1723,0.035611,0.552775,60,700,0.521
Baltimore,2018,6,reported,White,797,30,438,0.037641,0.549561,60,700,0.521
Baltimore,2018,6,reported,Neither,101,10,64,0.09901,0.633663,60,700,0.521
Baltimore,2018,7,reported,Black,3233,142,1776,0.043922,0.549335,60,700,0.521
Baltimore,2018,7,reported,White,868,33,487,0.038018,0.56106,60,700,0.521
Baltimore,2018,7,reported,Neither,120,0,65,0.0,0.541667,60,700,0.521
Baltimore,2018,8,reported,Black,3456,95,1813,0.027488,0.524595,60,700,0.521
Baltimore,2018,8,reported,White,880,23,471,0.026136,0.535227,60,700,0.521
Baltimore,2018,8,reported,Neither,149,1,79,0.006711,0.530201,60,700,0.521
Baltimore,2018,9,reported,Black,3179,119,1686,0.037433,0.530355,60,700,0.521
Baltimore,2018,9,reported,White,833,29,425,0.034814,0.510204,60,700,0.521
Baltimore,2018,9,reported,Neither,128,2,63,0.015625,0.492188,60,700,0.521
Baltimore,2018,10,reported,Black,3420,103,1830,0.030117,0.535088,60,700,0.521
Baltimore,2018,10,reported,White,956,70,538,0.073222,0.562762,60,700,0.521
Baltimore,2018,10,reported,Neither,130,0,60,0.0,0.461538,60,700,0.521
Baltimore,2018,11,reported,Black,3200,144,1711,0.045,0.534687,60,700,0.521
Baltimore,2018,11,reported,White,795,46,434,0.057862,0.545912,60,700,0.521
Baltimore,2018,11,reported,Neither,131,3,66,0.022901,0.503817,60,700,0.521
Baltimore,2018,12,reported,Black,3335,115,1801,0.034483,0.54003,60,700,0.521
Baltimore,2018,12,reported,White,791,44,429,0.055626,0.542351,60,700,0.521
Baltimore,2018,12,reported,Neither,139,0,77,0.0,0.553957,60,700,0.521
Baltimore,2019,2,detected,Black,2414,68,1271,0.028169,0.526512,60,700,0.521
Baltimore,2019,2,detected,White,567,38,285,0.067019,0.502646,60,700,0.521
Baltimore,2019,2,detected,Neither,115,3,56,0.026087,0.486957,60,700,0.521
Baltimore,2019,3,detected,Black,2694,96,1468,0.035635,0.544915,60,700,0.521
Baltimore,2019,3,detected,White,628,8,329,0.012739,0.523885,60,700,0.521
